day,title,url
2026-02-15,Article: Building LLMs in Resource-Constrained Environments: A Hands-On Perspective,https://www.infoq.com/articles/building-llms-resource-constrained-environments/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-15,Next Moca Releases Agent Definition Language as an Open Source Specification,https://www.infoq.com/news/2026/02/agent-definition-language/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-15,"Cloudflare Demonstrates Moltworker, Bringing Self-Hosted AI Agents to the Edge",https://www.infoq.com/news/2026/02/cloudflare-moltworker/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-16,GitHub Copilot SDK Lets Developers Integrate Copilot CLI's Engine into Apps,https://www.infoq.com/news/2026/02/github-copilot-sdk/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-16,"QCon Previews 20th Anniversary Conferences: Production AI, Resilience, and Staff+ Engineering",https://www.infoq.com/news/2026/02/qcon-previews-20th-anniversary/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-16,Windsurf Introduces Arena Mode to Compare AI Models During Development,https://www.infoq.com/news/2026/02/windsurf-arena-mode/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-17,Article: From Prompts to Production: a Playbook for Agentic Development,https://www.infoq.com/articles/prompts-to-production-playbook-for-agentic-development/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-17,Pandas 3.0 Introduces Default String Dtype and Copy-on-Write Semantics,https://www.infoq.com/news/2026/02/pandas-library/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-17,Kubernetes Drives AI Expansion as Cultural Shift Becomes Critical,https://www.infoq.com/news/2026/02/kubernetes-ai-culture-impact/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-18,VillageSQL Launches as an Extension-Focused MySQL Fork,https://www.infoq.com/news/2026/02/villagesql-mysql/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-18,OpenAI Scales Single Primary PostgreSQL Instance to Millions of Queries per Second for ChatGPT,https://www.infoq.com/news/2026/02/openai-runs-chatgpt-postgres/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-19,Presentation: Building Embedding Models for Large-Scale Real-World Applications,https://www.infoq.com/presentations/llm-large-scale-applications/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-20,Firestore Adds Pipeline Operations with over 100 New Query Features,https://www.infoq.com/news/2026/02/firestore-enterprise-pipeline/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-21,From Paging to Postmortem: Google Cloud SREs on Using Gemini CLI for Outage Response,https://www.infoq.com/news/2026/02/google-sre-gemini-cli-outage/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-22,Sixteen Claude Agents Built a C Compiler without Human Intervention... Almost,https://www.infoq.com/news/2026/02/claude-built-c-compiler/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-22,Article: Architecting Agentic MLOps: A Layered Protocol Strategy with A2A and MCP,https://www.infoq.com/articles/architecting-agentic-mlops-a2a-mcp/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-22,Google Explores Scaling Principles for Multi-Agent Coordination,https://www.infoq.com/news/2026/02/google-agent-scaling-principles/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-23,Agoda’s API Agent Converts Any API to MCP with Zero Code and Deployments,https://www.infoq.com/news/2026/02/agoda-api-agent/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-23,Does AI Make the Agile Manifesto Obsolete?,https://www.infoq.com/news/2026/02/ai-agile-manifesto-debate/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-27,Moonshot AI Releases Open-Weight Kimi K2.5 Model with Vision and Agent Swarm Capabilities,https://www.infoq.com/news/2026/02/kimi-k25-swarm/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-02-27,"Leapwork Research Shows Why AI in Testing Still Depends on Reliability, Not Just Innovation",https://www.infoq.com/news/2026/02/leapwork-ai-testing/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-01,GitHub Agentic Workflows Unleash AI-Driven Repository Automation,https://www.infoq.com/news/2026/02/github-agentic-workflows/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-01,Presentation: Panel: Modern Data Architectures,https://www.infoq.com/presentations/panel-modern-data-architectures/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-01,How Dropbox Built a Scalable Context Engine for Enterprise Knowledge Search,https://www.infoq.com/news/2026/02/dropbox-context-engine/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-01,"Presentation: DevOps Modernization: AI Agents, Intelligent Observability and Automation",https://www.infoq.com/presentations/devops-modernization-ai-agents/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-01,Hugging Face Introduces Community Evals for Transparent Model Benchmarking,https://www.infoq.com/news/2026/02/hugging-face-evals/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,"OpenAI Launches Frontier, a Platform to Build, Deploy, and Manage AI Agents across the Enterprise",https://www.infoq.com/news/2026/02/openai-frontier-agent-platform/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,OpenAI Introduces Harness Engineering: Codex Agents Power Large‑Scale Software Development,https://www.infoq.com/news/2026/02/openai-harness-engineering-codex/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,"Databricks Introduces Lakebase, a PostgreSQL Database for AI Workloads",https://www.infoq.com/news/2026/02/databricks-lakebase-postgresql/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,"Article: Building a Least-Privilege AI Agent Gateway for Infrastructure Automation with MCP, OPA, and Ephemeral Runners",https://www.infoq.com/articles/building-ai-agent-gateway-mcp/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,Presentation: AI Innovation in 2025 and beyond,https://www.infoq.com/presentations/ai-innovation-2025/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,Rivet Launches the Sandbox Agent SDK to Solve Agent API Fragmentation,https://www.infoq.com/news/2026/02/rivet-agent-sandbox-sdk/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,"Apple Researchers Introduce Ferret-UI Lite, an On-Device AI Model for Seeing and Controlling UIs",https://www.infoq.com/news/2026/02/apple-ferret-ui-lite-on-device/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,"AI ""Vibe Coding"" Threatens Open Source as Maintainers Face Crisis",https://www.infoq.com/news/2026/02/ai-floods-close-projects/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
2026-03-02,MySQL 9.6 Changes Foreign Key Constraints and Cascade Handling,https://www.infoq.com/news/2026/02/mysql-foreign-keys/?utm_campaign=infoq_content&utm_source=infoq&utm_medium=feed&utm_term=AI%2C+ML+%26+Data+Engineering
